2
1586995200000,9
euro,4.77,4.9,300.0,0
dolar american,4.5,4.32,0.0,1
lira sterlina,5.4,5.26,450.0,2
franc elvetian,4.65,4.43,400.0,3
corona suedeza,0.46,0.42,300.0,4
dolar canadian,3.19,3.05,372.0,5
corona ceha,0.193,0.16,300.0,6
zlot polonez,1.2,1.0,120.0,7
leu moldovenesc,0.265,0.23,126.0,8
1587081600000,9
euro,4.74,4.93,300.0,0
dolar american,4.51,4.3,0.0,1
lira sterlina,5.5,5.25,450.0,2
franc elvetian,4.62,4.48,400.0,3
corona suedeza,0.46,0.42,300.0,4
dolar canadian,3.19,3.05,372.0,5
corona ceha,0.19,0.165,300.0,6
zlot polonez,1.1,1.04,120.0,7
leu moldovenesc,0.265,0.23,126.0,8
